model,strategy,task,level,n_samples,accuracy,correct,ci95_lower,ci95_upper
emu3.5,generate_images,form-board,1,30,0.0,0,1.3877787807814457e-17,0.12064330476584563
emu3.5,generate_images,form-board,2,30,0.0,0,0.0,0.11696979849974075
emu3.5,generate_images,form-board,3,30,0.0,0,1.3877787807814457e-17,0.12064330476584563
emu3.5,generate_images,form-board,4,30,0.0,0,1.3877787807814457e-17,0.13797620467498017
emu3.5,generate_images,form-board,5,30,0.0,0,0.0,0.11696979849974075
emu3.5,generate_images,hinge-folding,1,5,0.0,0,0.0,0.43448246478317476
emu3.5,generate_images,hinge-folding,2,9,0.0,0,0.0,0.2991450484195441
emu3.5,generate_images,hinge-folding,3,7,0.0,0,5.551115123125783e-17,0.35433043506668743
emu3.5,generate_images,hinge-folding,4,5,0.0,0,0.0,0.43448246478317476
emu3.5,generate_images,hinge-folding,5,7,0.0,0,5.551115123125783e-17,0.35433043506668743
emu3.5,generate_images,paper-fold,1,16,0.0,0,0.0,0.1936076805344365
emu3.5,generate_images,paper-fold,2,19,0.0,0,0.0,0.16817922405261626
emu3.5,generate_images,paper-fold,3,15,0.0,0,0.0,0.20388330103584862
emu3.5,generate_images,paper-fold,4,24,0.08333333333333333,2,0.023158815297043306,0.25848802193210685
emu3.5,generate_images,paper-fold,5,23,0.0,0,0.0,0.14311661845042686
emu3.5,generate_images,rushhour,1,30,0.0,0,0.0,0.11351339317396876
emu3.5,generate_images,rushhour,2,27,0.037037037037037035,1,0.006568145980785103,0.18283465933575843
emu3.5,generate_images,rushhour,3,28,0.07142857142857142,2,0.019812064115305755,0.22645362568399052
emu3.5,generate_images,rushhour,4,27,0.0,0,0.0,0.12455502974186705
emu3.5,generate_images,rushhour,5,29,0.0,0,0.0,0.11696979849974075
emu3.5,generate_images,sliding-puzzle,1,26,0.0,0,0.0,0.1287289218592153
emu3.5,generate_images,sliding-puzzle,2,25,0.0,0,1.3877787807814457e-17,0.13319225093904846
emu3.5,generate_images,sliding-puzzle,3,24,0.0,0,1.3877787807814457e-17,0.13797620467498017
emu3.5,generate_images,sliding-puzzle,4,26,0.0,0,0.0,0.1287289218592153
emu3.5,generate_images,sliding-puzzle,5,23,0.043478260869565216,1,0.007716666143453149,0.20991155070258877
emu3.5,simple,form-board,1,30,0.0,0,0.0,0.11351339317396876
emu3.5,simple,form-board,2,30,0.0,0,0.0,0.11351339317396876
emu3.5,simple,form-board,3,30,0.06666666666666667,2,0.018477023791270378,0.2132345836261692
emu3.5,simple,form-board,4,30,0.03333333333333333,1,0.005908590381612455,0.16670390991409173
emu3.5,simple,form-board,5,30,0.0,0,0.0,0.11351339317396876
emu3.5,simple,hinge-folding,1,30,0.0,0,0.0,0.11351339317396876
emu3.5,simple,hinge-folding,2,30,0.0,0,0.0,0.11351339317396876
emu3.5,simple,hinge-folding,3,30,0.0,0,0.0,0.11351339317396876
emu3.5,simple,hinge-folding,4,30,0.0,0,0.0,0.11351339317396876
emu3.5,simple,hinge-folding,5,30,0.0,0,0.0,0.11351339317396876
emu3.5,simple,paper-fold,1,30,0.23333333333333334,7,0.11792388144489496,0.40928326158122164
emu3.5,simple,paper-fold,2,30,0.23333333333333334,7,0.11792388144489496,0.40928326158122164
emu3.5,simple,paper-fold,3,30,0.23333333333333334,7,0.11792388144489496,0.40928326158122164
emu3.5,simple,paper-fold,4,30,0.13333333333333333,4,0.053096554840547455,0.296813266820363
emu3.5,simple,paper-fold,5,30,0.23333333333333334,7,0.11792388144489496,0.40928326158122164
emu3.5,simple,rushhour,1,30,0.0,0,0.0,0.11351339317396876
emu3.5,simple,rushhour,2,30,0.1,3,0.03459988874733419,0.25621082579184085
emu3.5,simple,rushhour,3,30,0.06666666666666667,2,0.018477023791270378,0.2132345836261692
emu3.5,simple,rushhour,4,30,0.0,0,0.0,0.11351339317396876
emu3.5,simple,rushhour,5,30,0.0,0,0.0,0.11351339317396876
emu3.5,simple,sliding-puzzle,1,30,0.0,0,0.0,0.11351339317396876
emu3.5,simple,sliding-puzzle,2,30,0.0,0,0.0,0.11351339317396876
emu3.5,simple,sliding-puzzle,3,30,0.0,0,0.0,0.11351339317396876
emu3.5,simple,sliding-puzzle,4,30,0.0,0,0.0,0.11351339317396876
emu3.5,simple,sliding-puzzle,5,30,0.06666666666666667,2,0.018477023791270378,0.2132345836261692
gemini-2.5-flash,simple,form-board,1,30,0.6666666666666666,4,0.299993315138392,0.9032285888942195
gemini-2.5-flash,simple,form-board,2,30,0.0,0,5.551115123125783e-17,0.35433043506668743
gemini-2.5-flash,simple,form-board,3,30,0.0,0,0.0,0.6576197724933469
gemini-2.5-flash,simple,form-board,4,30,0.0,0,5.551115123125783e-17,0.5614970317550454
gemini-2.5-flash,simple,form-board,5,30,0.0,0,2.7755575615628914e-17,0.3903342879021653
gemini-2.5-flash,simple,hinge-folding,1,30,0.26666666666666666,8,0.14182663319596317,0.4444796169518888
gemini-2.5-flash,simple,hinge-folding,2,30,0.16666666666666666,5,0.0733654237184855,0.3356435050641603
gemini-2.5-flash,simple,hinge-folding,3,30,0.03333333333333333,1,0.005908590381612455,0.16670390991409173
gemini-2.5-flash,simple,hinge-folding,4,30,0.03333333333333333,1,0.005908590381612455,0.16670390991409173
gemini-2.5-flash,simple,hinge-folding,5,30,0.06666666666666667,2,0.018477023791270378,0.2132345836261692
gemini-2.5-flash,simple,paper-fold,1,30,0.0,0,0.0,0.7934506856227626
gemini-2.5-flash,simple,paper-fold,3,30,0.3333333333333333,1,0.06149194472039621,0.7923403991979522
gemini-2.5-flash,simple,paper-fold,4,30,0.3333333333333333,1,0.06149194472039621,0.7923403991979522
gemini-2.5-flash,simple,rushhour,1,30,0.5,15,0.33154125640533766,0.6684587435946623
gemini-2.5-flash,simple,rushhour,2,30,0.5666666666666667,17,0.3919730700081361,0.7262251442353347
